image_path,true_class,predicted_class
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\086dd5ed-279a-458b-aa4a-1484305ac21c___UF.GRC_BS_Lab Leaf 8835.JPG,Tomato___Bacterial_spot,Tomato___Leaf_Mold
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\0ad88d7a-c14a-4ac9-8520-c11a0ade3a8f___UF.GRC_BS_Lab Leaf 0996.JPG,Tomato___Bacterial_spot,Tomato___Early_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\1f96aa30-b5fd-4730-a758-ca586cbcf59f___GCREC_Bact.Sp 3688.JPG,Tomato___Bacterial_spot,Tomato___Leaf_Mold
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\24408a22-6358-438e-99a1-729ea90726ad___GCREC_Bact.Sp 3645.JPG,Tomato___Bacterial_spot,Tomato___Leaf_Mold
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\3811d01e-de9a-4159-8ab6-eb0e277f0acd___GCREC_Bact.Sp 3546.JPG,Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\4bd24403-eb33-4848-b47e-39e4d48333fa___GCREC_Bact.Sp 3713.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\5a87c2e4-220b-4985-8dd7-8726c727467b___GCREC_Bact.Sp 3564.JPG,Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\6959b518-7a96-46f1-a232-95f7d82767fa___GCREC_Bact.Sp 3642.JPG,Tomato___Bacterial_spot,Tomato___Spider_mites Two-spotted_spider_mite
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\6aa07949-08b2-4945-a535-3f8b49f86599___GCREC_Bact.Sp 6344.JPG,Tomato___Bacterial_spot,Tomato___Early_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\87946145-3625-4e66-8570-c7c0d2c4a388___UF.GRC_BS_Lab Leaf 1148.JPG,Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\90cbe307-2ec6-45f8-b62d-b6fb602466f4___UF.GRC_BS_Lab Leaf 8592.JPG,Tomato___Bacterial_spot,Tomato___Leaf_Mold
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,Tomato___Bacterial_spot,Tomato___Spider_mites Two-spotted_spider_mite
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\9955425d-d21e-4318-a394-099e4e5db3d3___GCREC_Bact.Sp 3646.JPG,Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\996c688b-9f51-4c81-8153-a13ae17f1ce8___UF.GRC_BS_Lab Leaf 0439.JPG,Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\b39d9edd-bcee-456c-b078-e3e286171114___GCREC_Bact.Sp 3656.JPG,Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\d4b77bcd-b609-40db-964c-8515dabe74bf___GCREC_Bact.Sp 3670.JPG,Tomato___Bacterial_spot,Tomato___Leaf_Mold
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Augmented)\valid\Tomato___Bacterial_spot\dbbb04ee-e2ea-4c76-bf67-c3a0aa708407___UF.GRC_BS_Lab Leaf 0508.JPG,Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot
