image_path,true_class,predicted_class
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\0296e043-c805-47e4-bce5-b2326048ac67___GCREC_Bact.Sp 5680.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\0ad88d7a-c14a-4ac9-8520-c11a0ade3a8f___UF.GRC_BS_Lab Leaf 0996.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\24408a22-6358-438e-99a1-729ea90726ad___GCREC_Bact.Sp 3645.JPG,Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\3811d01e-de9a-4159-8ab6-eb0e277f0acd___GCREC_Bact.Sp 3546.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\42deb15b-6443-4d2e-9a45-023052ce4974___GCREC_Bact.Sp 3077.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\48ea939e-918d-4cc2-8285-267811f84914___GCREC_Bact.Sp 3634.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\496716ca-78e6-4ae6-b3d4-2ed9f91f52b0___GCREC_Bact.Sp 3660.JPG,Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\4ad4db1b-dbd8-449a-b2a8-4ec4a89b2ba3___GCREC_Bact.Sp 3332.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\4b4c4e5c-9cdf-4f0b-8045-7f2ebb3e8a1f___GCREC_Bact.Sp 5923.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\4bd24403-eb33-4848-b47e-39e4d48333fa___GCREC_Bact.Sp 3713.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\51f50a63-acca-45b3-866a-95e339e08e91___GCREC_Bact.Sp 3319.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\5a87c2e4-220b-4985-8dd7-8726c727467b___GCREC_Bact.Sp 3564.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\62d0ccb6-69ee-4a28-989f-134785b48a6a___GCREC_Bact.Sp 6287.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\6651bd20-f9ca-4a0b-b49f-943a535e070a___GCREC_Bact.Sp 6152.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\6959b518-7a96-46f1-a232-95f7d82767fa___GCREC_Bact.Sp 3642.JPG,Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\86501b42-94c0-4f0c-98de-f6a0364a5bf2___GCREC_Bact.Sp 6220.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\8c1a0a73-26c9-405e-8957-8dd58df6bdf4___GCREC_Bact.Sp 3738.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\963e1eca-9916-4918-a2da-0f5feaef000a___UF.GRC_BS_Lab Leaf 0269.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\9955425d-d21e-4318-a394-099e4e5db3d3___GCREC_Bact.Sp 3646.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\996c688b-9f51-4c81-8153-a13ae17f1ce8___UF.GRC_BS_Lab Leaf 0439.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\a85dac1e-5549-457d-acda-e776d340f980___GCREC_Bact.Sp 3693.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\b39d9edd-bcee-456c-b078-e3e286171114___GCREC_Bact.Sp 3656.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\b6f247db-9a19-429c-b665-36a0407b230c___GCREC_Bact.Sp 6373.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\b921c832-358f-4a39-9e62-486d947aae2b___GCREC_Bact.Sp 5888.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\be5c54f2-f81d-4365-ac23-6a1c4ce3c8d8___GCREC_Bact.Sp 3611.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\befc4ca2-a878-4f85-b983-c1506a4a1a69___GCREC_Bact.Sp 5883.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\c5133ab4-1715-4658-970e-e0e4ad42e10e___GCREC_Bact.Sp 3308.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\d7ce9c0e-ac95-46e6-8578-80c712d1a44a___GCREC_Bact.Sp 3606.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\dbbb04ee-e2ea-4c76-bf67-c3a0aa708407___UF.GRC_BS_Lab Leaf 0508.JPG,Tomato___Bacterial_spot,Tomato___Late_blight
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\de2b6ef8-f5cc-4cf5-bebf-273d12f2626f___GCREC_Bact.Sp 6301.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\e7c136fd-9f65-428c-8d94-b74bde9e19c2___GCREC_Bact.Sp 3829.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\ec84b7c0-20c8-4b60-9389-a0dbef553184___GCREC_Bact.Sp 6361.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\ed5db820-e84c-40ad-bee2-22835caa8e39___GCREC_Bact.Sp 3707.JPG,Tomato___Bacterial_spot,Tomato___Tomato_mosaic_virus
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\f2f180d1-45fb-46b6-b528-63a7f87dd78a___GCREC_Bact.Sp 5911.JPG,Tomato___Bacterial_spot,Tomato___Target_Spot
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\f5d9fa8d-af44-4362-9134-190479bbe522___GCREC_Bact.Sp 3610.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Bacterial_spot\f9614f74-38f0-4ada-b73f-2a65ae1885c7___GCREC_Bact.Sp 3736.JPG,Tomato___Bacterial_spot,Tomato___healthy
C:\Users\acer\Downloads\tomattoqodo\data\New Plant Diseases Dataset(Filtered)\valid\Tomato___Late_blight\005e3b43-9050-47da-9498-f9ecdcc703b3___RS_Late.B 5104.JPG,Tomato___Late_blight,Tomato___healthy
